ID,memory,adjectives,excAdj
PP9029,Going to Korea over Spring Break and exploring different parts of Seoul.,"caring,mature,trustworthy,considerate,emotional",0
PP9030,"A couple of weeks ago, Maria texted me and said that we should do something spontaneous and we went into Westwood, almost everything was closed, so we walked into BJ's at the last min to get a pizookie. I enjoy the time we spend together because we laugh so much and have fun.","funny,intelligent,compassionate,beautiful,understanding,strong,athletic",0
PP9031,"Rachel and I went on multiple road trips, but the one that stands out the most is our most recent one from Dallas to El Paso.","funny,nonjudgemental,understanding",0
PP9032,Helping him when he was throwing up from alcohol and kicking the door to wake him up when he was passed out in locked bathroom while he was throwing up.,"witty,funny,ballsy,anxious,depressed,burdensome,self-doubting,reckless,self-destructive",0
PP9033,"Last summer while we were taking internship at a UNK meseum, we fundraised and organized free trips for local orphanages. During the most difficult phase she supported my plan fully and we working an a campaign on SNS that turned out to be the deciding factor that made the administration UNK out plans.","extremely talented,hard-working,respectful,caring,calm,introverted,attractive",0
PP9034,"For my 19th birthday, we went up to the mountains to go sledding. It was our first time in the snow together, so we had a very fun day doing activities. We also ordered some cabin food and hung out with my parents over some hot chocolate.","Very outgoing,always down to do anything we both want to do,really into music,loves to eat,exaggerates her emotions,funny,rarely emotional,adventures",0
PP9035,"Jay and I have been friends for many years - we met in elementary school. We grew up together and we performed together several times (we're both singers). One of my favorite performances was in high school when we were singing a duet, and both forgot to come in for the second verse at the same time (Luckily it didn't look like we messed up).","loyal,friendly,extroverted,easy to talk to,trustworthy,will always be there,sarcastic,sometimes our living styles conflict (we're roommates now),fun",0
PP9036,"We went to Cancun together for Spring Break. It was very last minute but we had so much fun and just laid on the beach, ate, and drank.","thoughtful,considerate,level headed,empathetic,impulsive,carefree",0
PP9037,"Living together during Community College. Travel together -> cruise, LV, SF. She cooked, I eat.","generous,reckless,loving,fun,emotional",0
PP9038,"Maddie lived in Qatar, and one time I FaceTimed her and we talked about everything from school to family to the differing cultures of where we were living. It's a fond memory because it was the first time we'd seen each other since I left Jordan, and we'd both had terrible family events happen that day. ","supportive,wise,confident,trustworthy,caring,bubbly",0
PP9039,I remember once we were really hungover and we drove to Pieology with her boyfriend and ate pizza in pain.,"fun,dope,awesome,UNK,funny,great listener,can be selfish,best friend",0
PP9040,Sitting on a balcony and ranting/crying to each other. The fresh air was so nice and it was refreshing to talk about anything and everything.,"kind,caring,intelligent,beautiful,great cook,encouraging",0
PP9041,"We took the same lab class last spring with an 8 am Friday lecture. And because I'm not a morning person, he would call me to make sure I woke up in time.","supportive,compassionate,driven,funny",0
PP9042,"One memory I have is going skateboarding in Sawtelle and Westwood with a group of friends that included Owen. We had skateboarded from UCLA to Sawtelle to get dinner at a Korean tofu house, and then skateboarded back to Westood where we began skating down parking garages. We actually got kicked out by security, but then we went to UNK to continue hanging out. We actually found a UCLA UNK cart and began taking turns riding it up and down the parking structure. At the end of the night, we all went back to our dorms.","ambitious,intelligent,funny,childish,silly,helpful",0
PP9043,"In high school once we climbed the most dangerous mountain in China together. It took us over 10 hours to the peak, and we were extremely tired. We enjoyed sunset at the summit, talking about all good times in the past 3 years since we met.","empathetic,naughty,kind,shy,friendly",0
PP9044,"A lot of memories span high school + university, but one that sticks is opening up our acceptances to UCLA together after pushing each other at UCR. We knew we were there for each other in high school, UCR, and more about to venture into UCLA together.","determined,cheery,ability to attract people",0
PP9045,The memory I have with my friend is when we shared a room over a long weekend while palying a rugby match in UNK. I chose this memory because I feel like we really grew to know each other a lot more over this weekend and had a good time just hanging out.,"funny,like-minded,relaxed,easy-going,spontaneous,a little bit reckless",0
PP9046,We went to concerts together. We have been friends since 7th grade; spent high school together.,"no way,come visit",0
PP9047,"When he almost walked me all the way home after a fun, much needed deep talk & night out at the Grove/ the rooftop dinner over the LA city lights; we laughed a lot and it was an amazing time","reliable,trustworthy,accepting,nonjudgmental,friendly,open-minded,deep,wise,experienced,impressive,wonderful,sweet,thoughtful,considerate,playful,understanding,generous,gentleman,easygoing,hardworking,hustla,intelligent,substantial,memorable,unforgettable,selfless,willing to help,always there for you",0
PP9048,"The day before prom we got in a huge fight and made up four hours later because she bought me coffee, apologized and joked that ""she has no other girlfriends, who was going to do her hair"" - we bought our dresses together, got ready together and spent the night after together. ","stubborn,loyal,loving,typeA,cold,sensitive,guarded,sharp,bold,independent",0
